"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS"
01001,750,595,145,138,855,207,702,182,461
01002,827,706,163,179,963,228,649,216,668
01003,1920,1673,764,392,2047,390,1876,291,1426
01004,1596,1293,348,315,1928,298,1569,332,988
01005,1365,1125,297,235,1626,332,1223,358,909
01006,919,713,141,193,1112,186,695,260,677
01007,1200,791,269,185,1398,139,923,227,841
01008,2024,1314,427,405,2126,380,1394,298,1646
01009,1282,1006,296,248,1477,267,1072,196,1020
01010,1378,1075,341,296,1613,203,1014,238,1201
01011,1833,1389,451,362,2150,259,1316,322,1584
01012,980,958,247,178,1269,244,1035,208,695
01013,710,740,174,128,907,241,857,114,479
01014,1153,936,214,209,1428,238,1069,158,862
01015,1253,1155,305,232,1610,261,1108,233,1067
01016,1170,1086,286,218,1528,224,994,224,1038
01017,1268,1329,345,270,1733,249,1190,260,1147
01018,827,781,183,173,1036,216,853,164,591
01019,1615,1389,331,319,2042,312,1286,411,1307
01020,1022,1130,146,197,1460,349,1251,457,444
01021,1070,1050,162,191,1455,312,1178,368,574
01022,630,671,114,107,869,211,768,293,240
01023,1056,1088,175,180,1489,300,1220,421,503
01025,670,638,75,129,942,162,625,347,336
01026,3883,1468,374,562,4074,341,1437,547,3367
01027,806,851,114,164,1141,238,861,413,383
01028,941,993,161,194,1349,230,921,508,505
01029,713,746,95,158,1049,157,597,428,434
01030,1267,1241,198,270,1648,392,1289,527,692
01031,865,735,139,148,1135,178,723,373,504
01032,951,903,106,134,1294,320,1067,416,371
01033,626,551,89,102,816,170,655,216,306
01034,457,500,57,83,655,162,551,217,189
01035,689,641,78,121,917,214,745,274,311
01036,559,655,108,130,736,240,908,122,184
01037,684,753,146,140,863,288,1037,198,202
01038,842,669,93,127,1103,188,744,357,410
01039,666,659,102,133,864,226,846,227,252
01040,541,565,93,83,739,191,619,243,244
01041,792,747,111,149,1118,161,750,396,393
01042,836,973,169,150,1004,486,1377,214,218
01043,849,829,170,124,1171,213,1005,382,291
01044,684,775,150,117,1004,188,866,335,258
01045,984,1003,115,145,1476,251,1004,559,424
01046,948,903,135,146,1343,227,900,500,451
01047,857,888,134,138,1213,260,956,363,426
01048,1031,1081,216,196,1424,276,1180,407,525
01049,761,847,220,157,1013,218,849,335,424
01050,798,790,156,140,1086,206,854,327,407
01051,922,905,175,154,1337,161,888,403,536
01052,1620,1236,251,664,1605,336,1417,535,904
01053,878,970,145,144,1200,359,1168,332,348
01054,678,649,107,113,921,186,719,304,304
01055,669,706,162,103,775,335,996,200,179
02001,633,679,186,102,797,227,938,116,258
02002,1500,1355,316,232,1799,508,1614,235,1006
02003,550,712,110,169,656,327,997,94,171
02004,736,767,177,145,876,305,1034,182,287
02005,930,1120,236,172,1128,514,1693,124,233
02006,817,881,228,140,942,388,1290,182,226
02007,576,741,121,111,742,343,1020,138,159
02008,895,1055,231,194,1110,415,1497,227,226
02009,842,955,224,149,1062,362,1400,152,245
02010,556,650,138,107,697,264,966,123,117
02011,551,557,93,119,624,272,951,76,81
02012,739,798,173,132,901,331,1170,131,236
