distrito,Provincia,1q 2008,2q 2008,3q 2008,4q 2008,1q 2009,2q 2009,3q 2009,4q 2009,1q 2010,2q 2010,3q 2010,4q 2010,1q 2011,2q 2011,3q 2011,4q 2011,1q 2012,2q 2012,3q 2012,4q 2012,1q 2013,2q 2013,3q 2013,4q 2013,1q 2014,2q 2014,3q 2014,4q 2014,1q 2015,2q 2015,3q 2015,4q 2015,1q 2016,2q 2016,3q 2016,4q 2016,1q 2017,2q 2017,3q 2017,4q 2017,1q 2018,2q 2018,3q 2018,4q 2018
Ciutat vella,Barcelona,4.436,4.358,4.095,3.947,3.741,3.722,3.706,3.576,3.571,3.540,3.519,3.430,3.440,3.197,3.083,2.981,2.802,2.682,2.641,2.695,2.648,2.747,2.980,3.340,3.541,3.205,3.258,3.355,3.485,3.611,3.686,3.621,3.765,3.902,4.016,4.191,4.438,4.562,4.793,4.584,4.489,4.452,4.482,4.434
Eixample,Barcelona,4.969,4.876,4.572,4.495,4.368,4.275,4.286,4.269,4.267,4.284,4.266,4.214,4.057,3.923,3.806,3.696,3.575,3.421,3.380,3.327,3.283,3.269,3.550,3.488,3.573,3.604,3.541,3.640,3.743,3.747,3.874,3.861,4.050,4.132,4.276,4.610,4.998,5.057,5.215,4.978,5.053,5.120,5.104,5.005
Gràcia,Barcelona,4.595,4.552,4.270,4.118,3.965,3.879,3.828,3.895,3.944,3.913,3.925,3.909,3.750,3.574,3.462,3.375,3.166,3.026,2.958,2.868,2.814,2.893,3.022,3.024,2.882,2.905,2.974,2.995,3.034,3.087,3.143,3.195,3.164,3.227,3.404,3.610,3.738,3.875,4.072,4.157,4.379,4.521,4.393,4.346
Horta Guinardó,Barcelona,3.933,3.932,3.682,3.474,3.362,3.316,3.231,3.250,3.259,3.238,3.204,3.117,3.003,2.876,2.827,2.700,2.607,2.500,2.349,2.378,2.218,2.204,2.316,2.223,2.277,2.265,2.236,2.208,2.230,2.226,2.247,2.302,2.301,2.329,2.415,2.493,2.589,2.805,2.937,2.951,3.079,3.053,3.021,3.092
Les Corts,Barcelona,5.401,5.312,5.047,4.950,4.905,4.800,4.639,4.544,4.680,4.759,4.867,4.912,4.746,4.523,4.356,4.298,4.241,4.298,4.062,3.947,4.049,3.973,4.019,4.037,4.064,4.079,4.047,4.173,4.184,4.195,4.220,4.239,4.486,4.544,4.531,4.756,5.175,5.093,5.156,5.207,5.096,5.071,4.954,4.896
Nou Barris,Barcelona,3.566,3.517,3.301,3.200,3.025,2.961,2.931,2.871,2.846,2.807,2.802,2.719,2.650,2.527,2.505,2.356,2.213,2.160,2.079,1.981,1.983,1.892,1.952,1.836,1.814,1.735,1.718,1.672,1.754,1.749,1.786,1.777,1.775,1.779,1.849,1.945,1.939,2.094,2.126,2.220,2.309,2.358,2.458,2.491
Sant Andreu,Barcelona,3.906,3.888,3.582,3.438,3.287,3.283,3.283,3.161,3.151,3.102,3.039,2.994,2.911,2.820,2.704,2.590,2.536,2.443,2.449,2.314,2.192,2.150,2.233,2.120,2.091,2.079,2.086,2.120,2.151,2.149,2.198,2.197,2.172,2.227,2.211,2.328,2.379,2.440,2.729,2.877,3.014,2.968,3.025,2.926
Sant Martí,Barcelona,4.409,4.369,4.093,3.981,3.753,3.713,3.681,3.710,3.659,3.654,3.631,3.643,3.506,3.430,3.347,3.203,3.062,2.956,2.869,2.854,2.757,2.817,3.126,2.957,2.972,3.201,3.124,3.226,3.321,3.302,3.634,3.530,3.382,3.440,3.617,3.954,4.138,4.231,4.161,3.984,4.029,4.179,4.104,4.214
Sants-Montjuïc,Barcelona,4.246,4.167,3.823,3.652,3.572,3.439,3.446,3.427,3.414,3.317,3.272,3.182,3.085,2.998,2.877,2.767,2.691,2.567,2.510,2.418,2.386,2.273,2.482,2.463,2.432,2.438,2.406,2.446,2.414,2.510,2.513,2.618,2.652,2.693,2.762,2.897,3.171,3.303,3.388,3.617,3.794,3.727,3.773,3.621
Sarrià-Sant gervasi,Barcelona,5.685,5.625,5.425,5.434,5.197,5.118,5.108,5.094,4.984,4.877,4.938,4.964,4.773,4.629,4.459,4.321,4.177,4.043,3.962,3.804,3.692,3.617,3.839,3.921,4.010,3.995,4.013,4.065,4.130,4.227,4.325,4.367,4.598,4.551,4.685,4.818,4.983,5.136,5.199,5.204,5.231,5.340,5.323,5.351
Barcelona,Barcelona,4.594,4.513,4.275,4.222,4.082,4.020,3.967,3.966,3.952,3.954,3.935,3.916,3.782,3.632,3.533,3.434,3.332,3.260,3.202,3.114,3.045,3.035,2.957,3.019,3.067,3.100,3.116,3.188,3.263,3.293,3.401,3.392,3.478,3.533,3.667,3.879,4.123,4.253,4.335,4.284,4.334,4.400,4.388,4.344
Arenys De Mar,Barcelona,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.910,2.861,2.781,2.759,2.742,2.735,2.677,2.618,2.568,2.415,2.380,2.263,2.285,2.259,2.158,2.106,1.861,1.867,1.792,1.763,1.751,1.657,1.698,1.693,1.688,1.699,1.694,1.669,1.671,1.662,1.724,1.809,1.773,1.827,2.009,2.112,2.129,2.157
Arenys De Munt,Barcelona,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.445,2.315,2.196,2.106,2.014,1.982,1.874,1.937,1.924,1.835,1.864,1.794,1.647,1.503,1.542,1.550,1.618,1.641,1.582,1.536,1.467,1.474,1.444,1.452,1.471,1.453,1.452,1.500,1.554,1.586,1.614,1.548,1.615
Badalona,Barcelona,3.458,3.324,3.147,3.107,2.967,2.909,2.824,2.878,2.765,2.684,2.746,2.761,2.676,2.671,2.588,2.493,2.433,2.401,2.320,2.269,2.184,2.121,1.999,1.940,1.912,1.853,1.835,1.848,1.892,1.843,1.837,1.798,1.831,1.769,1.852,1.899,1.853,1.941,1.993,2.041,2.114,2.221,2.259,2.276
Barberá De Vallès,Barcelona,3.030,2.930,2.848,2.786,2.738,2.599,2.606,2.529,2.462,2.478,2.434,2.367,2.286,2.290,2.273,2.274,2.160,2.035,2.052,1.920,1.903,1.782,1.814,1.712,1.773,1.732,1.671,1.623,1.584,1.542,1.558,1.503,1.530,1.615,1.641,1.742,1.699,1.838,1.832,1.884,2.015,2.098,2.079,2.117
Calella,Barcelona,n.d.,n.d.,n.d.,2.770,2.724,2.512,2.497,n.d.,n.d.,n.d.,n.d.,2.258,2.248,2.182,2.162,2.152,2.018,1.879,1.889,1.910,1.947,1.968,1.768,1.685,1.764,1.646,1.688,1.645,1.622,1.611,1.580,1.568,1.577,1.615,1.581,1.512,1.553,1.599,1.577,1.592,1.660,1.718,1.733,1.736
Canovelles,Barcelona,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.145,2.045,2.109,2.103,1.873,1.774,1.826,1.843,1.743,1.711,1.731,1.712,1.549,1.438,1.313,1.326,1.290,1.258,1.257,1.273,1.213,1.207,1.163,1.110,1.153,1.114,1.165,1.151,1.157,1.250,1.285,1.301,1.319
